"time" "N1" "N2" "N3"
"588" 146.75 15.4793 33.231 10.6263
"589" 147 15.1864 32.9726 11.1894
"590" 147.25 14.8914 32.6965 11.7721
"591" 147.5 14.5956 32.4051 12.3753
"592" 147.75 14.2991 32.0989 12.9989
"593" 148 14.0022 31.7779 13.6427
"594" 148.25 13.705 31.4424 14.3064
"595" 148.5 13.4076 31.0926 14.9894
"596" 148.75 13.1104 30.7288 15.6911
"597" 149 12.8134 30.3513 16.411
"598" 149.25 12.517 29.9605 17.1482
"599" 149.5 12.2213 29.5571 17.9019
"600" 149.75 11.9267 29.1414 18.6711
"601" 150 11.6333 28.7142 19.455
"602" 150.25 11.3414 28.276 20.2523
"603" 150.5 11.0513 27.8276 21.0619
"604" 150.75 10.7632 27.3697 21.8827
"605" 151 10.4774 26.9031 22.7133
"606" 151.25 10.1942 26.4285 23.5526
"607" 151.5 9.9138 25.9469 24.3991
"608" 151.75 9.6365 25.4591 25.2516
"609" 152 9.3624 24.9659 26.1087
"610" 152.25 9.0919 24.4683 26.9691
"611" 152.5 8.8251 23.967 27.8315
"612" 152.75 8.5623 23.463 28.6945
"613" 153 8.3036 22.957 29.5569
"614" 153.25 8.0492 22.45 30.4174
"615" 153.5 7.8007 21.9475 31.2353
"616" 153.75 7.5764 21.514 31.8402
"617" 154 7.3851 21.1813 32.2838
"618" 154.25 7.2213 20.9333 32.6175
"619" 154.5 7.0786 20.7494 32.8748
"620" 154.75 6.9524 20.5983 33.08
"621" 155 6.845 20.4364 33.2582
"622" 155.25 6.7583 20.2671 33.4206
"623" 155.5 6.6925 20.0916 33.5693
"624" 155.75 6.6476 19.9107 33.7048
"625" 156 6.6234 19.7245 33.8272
"626" 156.25 6.62 19.5333 33.9364
