"time" "N1" "N2" "N3" "N4" "N5"
"382" 95.25 10.8962 24.6327 37.606 9.9939 36.2252
"383" 95.5 10.761 24.4663 37.5622 10.0916 36.5124
"384" 95.75 10.6263 24.2985 37.5139 10.189 36.8078
"385" 96 10.4924 24.1294 37.4618 10.2862 37.1098
"386" 96.25 10.3594 23.9595 37.4064 10.3832 37.4173
"387" 96.5 10.2273 23.789 37.3481 10.4802 37.7288
"388" 96.75 10.0963 23.6181 37.2873 10.5773 38.0432
"389" 97 9.9665 23.4472 37.2244 10.6746 38.3597
"390" 97.25 9.8379 23.2764 37.1596 10.7722 38.6772
"391" 97.5 9.7107 23.106 37.0934 10.8701 38.995
"392" 97.75 9.5847 22.9359 37.026 10.9685 39.3124
"393" 98 9.4602 22.7665 36.9575 11.0674 39.6286
"394" 98.25 9.3371 22.5979 36.8883 11.1669 39.943
"395" 98.5 9.2154 22.4301 36.8186 11.2671 40.2553
"396" 98.75 9.0952 22.2632 36.7484 11.368 40.5649
"397" 99 8.9765 22.0974 36.678 11.4696 40.8714
"398" 99.25 8.8593 21.9327 36.6075 11.5721 41.1746
"399" 99.5 8.7436 21.7691 36.537 11.6754 41.474
"400" 99.75 8.6294 21.6067 36.4666 11.7797 41.7694
"401" 100 8.5167 21.4456 36.3964 11.8849 42.0607
"402" 100.25 8.4055 21.2858 36.3265 11.9911 42.3475
"403" 100.5 8.2958 21.1273 36.257 12.0984 42.6298
"404" 100.75 8.1876 20.9701 36.1878 12.2064 42.9075
"405" 101 8.0814 20.8157 36.1218 12.2971 43.1847
"406" 101.25 7.9777 20.6645 36.0619 12.3635 43.469
"407" 101.5 7.8779 20.4985 35.9899 12.4121 43.7738
"408" 101.75 7.7862 20.3191 35.89 12.4506 44.117
"409" 102 7.7052 20.1331 35.7748 12.4834 44.4639
"410" 102.25 7.6362 19.946 35.6545 12.5142 44.8058
"411" 102.5 7.5792 19.7581 35.5297 12.5433 45.1433
"412" 102.75 7.5341 19.5695 35.4004 12.5706 45.4763
"413" 103 7.5014 19.3823 35.248 12.5923 45.8047
"414" 103.25 7.4914 19.2328 35.0334 12.5937 46.0879
"415" 103.5 7.5091 19.136 34.7944 12.585 46.3337
"416" 103.75 7.554 19.0847 34.5349 12.5678 46.547
"417" 104 7.6211 19.0729 34.2583 12.543 46.7313
"418" 104.25 7.6883 19.098 33.9716 12.5134 46.8969
"419" 104.5 7.7534 19.1574 33.6774 12.4799 47.0472
"420" 104.75 7.8164 19.2484 33.3766 12.4428 47.1832
"421" 105 7.8776 19.3688 33.07 12.4025 47.3057
"422" 105.25 7.9369 19.5166 32.7585 12.3591 47.4156
"423" 105.5 7.9945 19.6898 32.4425 12.3128 47.5133
"424" 105.75 8.0505 19.887 32.1227 12.2639 47.5996
"425" 106 8.1048 20.1067 31.7996 12.2124 47.6749
